Year,Actor2Geo_CountryCode,GoldsteinScale,NuMentions,AvgTone,QuadClass,Goldstein_Neg_5,Goldstein_Neg_6,Goldstein_Neg_7,Goldstein_Neg_8,Goldstein_Neg_9,Goldstein_Pos_5,Goldstein_Pos_6,Goldstein_Pos_7,Goldstein_Pos_8,Goldstein_Pos_9,Quad_4_Goldstein_Neg_5,Quad_4_Goldstein_Neg_6,Quad_4_Goldstein_Neg_7,Quad_4_Goldstein_Neg_8,Quad_4_Goldstein_Neg_9,Event_Code_19_20,Extreme_Pos_Tone_Events,Extreme_Neg_Tone_Events
2000,AA,0.325581395,4.139534884,4.938495466,1.790697674,4,3,2,1,1,0,0,0,0,0,2,1,1,1,1,1,0,0
2000,AC,-0.314728682,4.147286822,4.402594307,1.992248062,16,15,15,15,14,13,12,4,0,0,15,15,15,15,14,12,4,0
2000,AE,2.149690681,4.211135502,5.776108181,1.391738176,171,171,151,142,130,941,829,226,20,3,157,157,151,142,130,116,305,0
2000,AF,0.438193673,4.964461004,4.805762143,1.862716297,3989,3942,3711,3296,3133,5033,4454,867,273,132,3726,3719,3691,3296,3133,3003,371,0
2000,AG,0.546953361,5.070051137,5.395546293,1.786704454,2722,2715,2481,2404,2210,2703,2471,850,139,35,2580,2578,2476,2404,2210,2000,847,0
2000,AJ,1.320092223,5.259468421,5.224475545,1.523185327,1095,1083,789,707,612,2813,2448,866,59,29,818,812,778,707,612,524,612,0
2000,AL,-0.325024248,4.607321191,5.206758919,2.000898085,4727,4713,3907,3608,3349,3530,3115,914,333,89,4126,4124,3838,3608,3349,2964,622,0
2000,AM,1.600418622,4.967651909,5.365962451,1.474946087,857,845,678,607,559,2753,2284,928,107,26,698,695,672,607,559,518,468,0
2000,AN,3.373015873,2.650793651,5.6258961,1.158730159,3,3,0,0,0,16,15,10,0,0,0,0,0,0,0,0,0,0
2000,AO,0.631377638,4.417993046,5.076020634,1.789069004,2848,2827,2679,2467,2211,3472,2954,1315,362,135,2680,2675,2662,2467,2211,2121,817,0
2000,AQ,-0.32,4.72,4.371162561,1.92,6,6,6,6,4,3,2,0,0,0,6,6,6,6,4,3,0,0
2000,AR,1.19210992,4.325387738,5.152903203,1.6065369,730,723,591,506,383,1394,1283,370,36,11,595,595,575,506,383,333,151,0
2000,AS,1.054144515,4.837917803,5.40070198,1.666081087,1478,1443,1184,1065,909,2973,2522,733,115,32,1244,1237,1168,1065,909,836,838,0
2000,AU,0.913540653,5.01864321,6.472407646,1.66632935,2005,1854,1124,542,485,3440,3155,623,83,54,1179,1177,1088,542,485,418,1849,0
2000,AV,1.798947368,5.926315789,5.569528072,1.810526316,6,5,5,5,5,20,16,6,0,0,6,5,5,5,5,5,0,0
2000,AY,0.912068966,3.379310345,6.013648689,1.620689655,1,1,1,1,1,7,7,2,0,0,1,1,1,1,1,1,3,0
2000,BA,2.485932247,4.508663046,5.954076228,1.266614947,110,107,95,80,72,716,640,209,10,7,97,97,95,80,72,67,325,0
2000,BB,1.746753247,4.376623377,5.271781776,1.506493506,8,8,8,8,8,45,38,7,0,0,8,8,8,8,8,8,3,0
2000,BC,1.698881695,4.712772219,5.904505243,1.540317834,131,123,100,87,72,564,466,183,17,8,103,102,98,87,72,68,254,0
2000,BD,1.07310705,4.475195822,5.524195263,1.54308094,22,22,20,19,19,43,40,10,4,1,20,20,20,19,19,19,11,0
2000,BE,1.49072476,4.896264559,5.41078977,1.52748778,850,832,610,486,421,2457,2264,540,124,37,649,649,602,486,421,382,423,0
2000,BF,1.131771894,3.6700611,4.642596977,1.637474542,26,26,23,23,22,61,47,20,0,0,23,23,23,23,22,19,12,0
2000,BG,0.658149276,4.948781417,5.279363836,1.715727342,1282,1264,1076,963,860,1286,1122,407,63,14,1066,1064,1042,963,860,729,519,0
2000,BH,1.687993139,4.2864494,4.95994551,1.592624357,71,71,70,56,48,233,211,96,13,7,70,70,70,56,48,27,28,0
2000,BK,0.302629898,5.018845826,4.977561607,1.860093697,876,861,736,696,599,1187,1014,296,55,19,738,736,726,696,599,499,215,0
2000,BL,0.563274336,4.764103982,4.645737404,1.774059735,557,551,466,402,362,538,492,230,38,10,428,427,424,402,362,353,23,0
2000,BM,0.576407262,5.407809506,5.581209931,1.825472128,1273,1243,1021,908,801,1606,1454,397,123,37,1097,1097,1017,908,801,707,310,0
2000,BN,1.793698176,4.741846324,5.766394571,1.454394693,97,97,92,83,70,274,231,96,13,0,91,91,91,83,70,58,75,0
2000,BO,1.73713833,5.431386057,5.378601159,1.502548912,606,581,339,277,223,2703,2374,1094,46,11,353,350,338,277,223,191,537,0
2000,BP,0.36374269,6.994639376,5.180576215,1.845760234,578,562,519,484,405,560,451,126,24,6,531,526,512,484,405,390,141,0
2000,BR,1.251587697,4.482626766,5.103159498,1.598586866,890,879,747,676,624,1775,1563,552,51,16,752,751,736,676,624,571,242,0
2000,BT,1.728137818,5.177194422,5.3814576,1.520918786,84,84,69,66,57,271,247,23,2,1,73,73,69,66,57,54,62,0
2000,BU,2.099180156,4.553867984,5.672842009,1.367511036,556,549,415,358,329,3431,3018,854,47,14,435,432,411,358,329,267,578,0
2000,BX,2.162282282,5.0996997,6.415926459,1.300900901,111,110,83,59,55,474,441,110,6,3,94,93,82,59,55,49,336,0
2000,BY,0.192474334,5.964396722,5.706055258,1.849015729,2052,2043,1951,1883,1660,1739,1590,719,96,17,1968,1965,1927,1883,1660,1509,706,0
2000,CA,1.415364781,4.561454067,5.507297098,1.585014409,1188,1161,986,869,764,3132,2715,779,91,12,1023,1011,971,869,764,683,780,0
2000,CB,1.055229041,5.21642178,5.833174708,1.660674157,829,813,680,649,546,1590,1336,436,56,29,704,700,672,649,546,510,747,0
2000,CD,1.164235468,5.067012218,5.671514765,1.627915587,289,289,263,255,196,468,439,164,15,6,274,274,263,255,196,178,126,0
2000,CE,-2.21787922,6.330797274,4.398372683,2.432239658,6551,6547,6316,6167,5751,2246,1948,611,375,173,6329,6329,6302,6167,5751,5198,253,0
2000,CF,1.050989259,4.144714528,5.394328188,1.767665348,187,186,172,161,151,333,291,170,78,24,173,172,168,161,151,143,42,0
2000,CG,0.25033084,4.307105869,5.197220324,1.884205984,1048,1030,960,855,797,1010,897,383,184,82,973,971,958,855,797,769,120,0
2000,CH,1.534534103,5.256867243,6.456872227,1.503978758,6122,6025,4132,3554,3027,17240,14861,4184,309,91,4629,4618,4075,3554,3027,2456,11744,0
2000,CI,1.117505642,4.703561966,5.62720343,1.628005103,489,478,413,367,286,1198,1095,292,17,5,409,403,399,367,286,231,307,0
2000,CJ,0.966666667,4.189189189,5.368156334,1.801801802,7,7,5,5,5,11,10,3,2,2,5,5,5,5,5,5,0,0
2000,CM,0.378689759,5.175451807,5.175976545,1.820783133,154,154,135,109,85,142,124,37,5,2,137,137,135,109,85,72,39,0
2000,CN,1.593740795,5.25994109,5.98045803,1.578055965,88,85,62,43,31,280,254,126,8,3,63,63,62,43,31,18,93,0
2000,CO,0.117716317,4.94302451,5.271377825,1.874799639,5381,5354,4952,4720,4026,4827,4235,1073,355,101,5030,5020,4929,4720,4026,3701,757,0
2000,CQ,0.12725536,4.873699851,5.20219245,1.849713437,369,361,289,262,229,415,327,86,19,7,292,292,283,262,229,207,101,0
2000,CS,1.789126117,4.004468719,5.508100837,1.437437934,142,140,126,118,110,302,278,112,7,4,119,119,118,118,110,101,110,0
2000,CT,0.262878168,5.098119379,4.98020439,1.888798038,189,183,156,145,130,190,156,80,34,18,153,151,150,145,130,123,47,0
2000,CU,1.47344283,4.707991156,5.929404601,1.471762476,1566,1533,1075,956,848,3763,3361,1045,77,42,1130,1124,1058,956,848,720,918,0
